Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
69,"N Carter, J Wong, LG Guerrero",Reconsidering group interests: Why Black Americans exhibit more progressive attitudes toward immigration than Asian Americans,15,2022, cambridge.org, Du Bois Review: Social Science …,https://www.cambridge.org/core/journals/du-bois-review-social-science-research-on-race/article/reconsidering-group-interests/6BDB0BF388EC849E3C572B8A59E122A5,4
81,"P Thor, S Yang, Y Park",Child maltreatment in Asian American and Pacific Islander families: The roles of economic hardship and parental aggravation,13,2022, Springer, … journal on child maltreatment: research  policy …,https://link.springer.com/article/10.1007/s42448-021-00111-8,3
46,R Yao,Financial behaviors of Asian Americans,13,2008, Springer, Handbook of consumer finance research,https://link.springer.com/chapter/10.1007/978-0-387-75734-6_18,1
23,JS Rugh,"Painting the whole picture: Foreclosure rates among Asian American ethnic groups in Orlando, Florida, and Phoenix, Arizona",13,2015, meridian.allenpress.com, AAPI Nexus: Policy  Practice and Community,https://meridian.allenpress.com/aapi-nexus/article-pdf/13/1-2/149/1417798/1545-0317_13_1_149.pdf,1
30,"H Duleep, SG Sanders",The economic status of Asian Americans before and after the Civil Rights Act,12,2012, econstor.eu,,https://www.econstor.eu/handle/10419/62575,1
33,"M Courchane, R Darolia, A Gailey",Borrowers from a different shore: Asian outcomes in the US mortgage market,10,2015, Elsevier, Journal of Housing Economics,https://www.sciencedirect.com/science/article/pii/S1051137715000029,1
24,Y Nam,Immigration and economic conditions among older Asian Americans,9,2014, Springer, Race and Social Problems,https://link.springer.com/article/10.1007/s12552-014-9118-1,1
26,VC Tran,Asian American diversity and growth,8,2024, annualreviews.org, Annual Review of Sociology,https://www.annualreviews.org/content/journals/10.1146/annurev-soc-031021-012617,4
12,"RV Patraporn, LD Tran, PM Ong","Risks and rewards in wealth building: Asian American homeownership and foreclosure pre and post housing boom in East San Gabriel Valley, California",7,2015, meridian.allenpress.com, AAPI Nexus: Policy …,https://meridian.allenpress.com/aapi-nexus/article-pdf/13/1-2/122/1417815/1545-0317_13_1_122.pdf,1
71,"M De La Cruz-Viesca, D Hamilton…",Reframing the Asian American wealth narrative: an examination of the racial wealth gap in the National Asset Scorecard for Communities of Color Survey,6,2015, meridian.allenpress.com, AAPI Nexus: Policy …,https://meridian.allenpress.com/aapi-nexus/article-pdf/13/1-2/1/1417785/1545-0317_13_1_1.pdf,1
